deep_source_id,evidence_state,platform,source_role,title,public_url,author_public_basis,version,locator,quality_score_0_18,independence_group,decision,reason
"STS-STEAM-001","L0","Steam 官方","规则/商品页","Slay the Spire","https://store.steampowered.com/app/646570/Slay_the_Spire/?l=english","Mega Crit 官方商品页","2019 正式版/2026 页面快照","About This Game/Features/Content For This Game","17","megacrit-official","核心纳入","核对核心结构、内容规模与 Steam 商品形态；页面价格按地区变化"
"STS-NIN-001","L0","Nintendo 开发者访谈","开发者设计复盘","开发者谈深度与平衡","https://www.nintendo.com/jp/topics/article/1f6d2f1e-b7ea-11e9-b641-063b7ac45a6d","Anthony Giovannetti／Mega Crit 联合创始人","2019 正式版","意图系统/随机供给/平衡/社区段落","18","anthony-nintendo-interview","核心纳入","一手解释原型迭代、弹性构筑和保留强组合的边界"
"STS-GDC-001","L0","GDC 2019 PDF","开发者平衡方法","Slay the Spire: Metrics Driven Design and Balance","https://www.gdcvault.com/play/1025731/-Slay-the-Spire-Metrics%EF%BB%BF","Anthony Giovannetti／Mega Crit","2019","p.6-21","17","anthony-gdc-metrics","核心纳入","一手指标、Ascension 分层、社区观察与平衡边界；幻灯片缺部分口述"
"STS-GDC-002","L0","GDC 2019 PDF","发行/传播复盘","Slay the Spire: Success Through Marketability","","Casey Yano／Mega Crit","2019","p.14-31","15","casey-gdc-marketability","补充纳入","说明周更、主播和本地化如何承载传播；不是玩家核心循环证据"
"STS-ZH-001","L0","知乎","高难玩家攻略","《杀戮尖塔》全职业20进阶+碎心攻略","https://zhuanlan.zhihu.com/p/44510104","作者自述完成 A20/碎心、后续主动承认旧判断局限；未外部核验","2018-2023 多次更新","ZH-article-44510104-P0001..P0018","12","zhihu-a20-self-report","条件纳入","高难路线/选牌/敌人检查项丰富；主观且混合多个版本，只取结构性经验"
"STS-ZH-002","L0","知乎","系统策划分析","杀戮尖塔简析（下）-局内构筑设计","https://zhuanlan.zhihu.com/p/2023053633072234934","公开身份未核；完整长文","页面时间 2026","ZH-article-2023053633072234934-P0001..P0005","10","zhihu-construction-analysis","解释模型","攻防/能量/流转与协同链框架完整，作者依据和数值复算不足"
"STS-ZH-003","L0","知乎","系统拆解","《杀戮尖塔》设计拆解","https://zhuanlan.zhihu.com/p/650859964","作者链接个人游戏设计网站并称参与游戏制作；未外部核验","2023","ZH-article-650859964-P0001..P0007","11","zhihu-system-analysis","补充纳入","完整覆盖战斗、卡牌与路线；统计样本和作者资历需复核"
"STS-ZH-004","L0","知乎","类作开发复盘","独立开发类杀戮尖塔游戏的16系统耦合","https://zhuanlan.zhihu.com/p/2024767073264444473","作者自述独立开发已上架游戏；未核销量/履历","2026","ZH-article-2024767073264444473-P0001..P0004","12","indie-coupling-postmortem","只作迁移反例","一手开发复盘说明耦合越界，但不是原作机制事实"
"STS-BILI-001","D0","B站","设计分析候选","策略深度与卡牌设计（搜索候选）","https://www.bilibili.com/video/BV1FG4y1s7Qe","作者依据待核","未知","搜索标题/简介","6","bili-design-candidate-01","不进入结论","未取得官方字幕或验收通过的全片 ASR，不能用标题代替论证"
"STS-BILI-002","D0","B站","GDC 搬运候选","杀戮尖塔 GDC 中文候选","https://www.bilibili.com/video/BV1BE411d7YN","搬运/翻译关系待核","GDC 2019","搜索标题/简介","6","gdc-repost-cluster","不进入结论","已有本地 GDC 一手 PDF，且视频 L0 未完成"
