source_id,source_type,platform,title,locator,published_or_collected_at,used_for,limitations
"SRC-G01","GDC直接主张","GDC 2026","Creating Player Expertise Microtalks","G:/GDC/GDC2026/PDF/GDC Vault - Creating Player Expertise Microtalks_1036019.pdf；p.3-44、48-83","2026","认知负荷、教程矩阵、玩家疲劳的分析透镜","通用方法；不是《原神》开发者意图或效果证据"
"SRC-G02","GDC直接主张","GDC 2026","Flavors of Challenge","G:/GDC/GDC2026/PDF/GDC Vault - Flavors of Challenge The 8 Flavors of Difficulty and How They Can Be Combined to Make Be_1035713.pdf；p.16-44、71-95","2026","拆分挑战成分、时间税、动量与方向","讲者框架；不是经统计验证的普遍定律"
"SRC-G03","GDC直接主张","GDC 2025","Honkai: Star Rail — Reimagining RPGs for Mass Audiences and Broad Appeal","G:/GDC/GDC2025/PDF/Honkai Star Rail Reimagining RPGs for Mass Audiences and Broad Appeal.pdf；p.19-26、50-53","2025","相邻产品的简化、组合深度与内容追赶对照","相邻案例而非《原神》证据；品类结构不同"
"SRC-G04","GDC直接主张","GDC 2025","The Four One-Page Design Docs You Should Have","G:/GDC/GDC2025/PDF/The Four One-Page Design Docs You Need (And How to Use Them).pptx；slide 2-20、28-37","2025","Vision、Pillars、Game Loops、Resource Flow 的文档结构","内部对齐工具；不能替代完整 GDD 或玩家研究"
"SRC-A01","采集快照","四平台","原神 攻略：73 条内容＋67 条一级评论","本地原始 JSONL；未提交 Git","2026-07-29","全景发现、主题编码与平台差异","单关键词、默认排序、低评论上限、便利样本"
"SRC-C01","外部来源转述","B站","萌新攻略评论：概念密度与新手视角","https://www.bilibili.com/video/BV19h4y1K7yM","2026-07-29 采集","认知负荷与攻略信息架构反例","单条评论；玩家身份和代表性未验证"
"SRC-C02","外部来源转述","B站","三年玩家新手攻略评论：失败、抽卡与流失叙述","https://www.bilibili.com/video/av578799053","2026-07-29 采集","资源焦虑、挑战失败与退出路径","自述个案；因果可能混合情绪与偶发事件"
"SRC-C03","外部来源转述","B站","2026 入坑攻略评论：卡等级和重开号建议","https://www.bilibili.com/video/av116810024289589","2026-07-29 采集","世界进度、养成和不可逆感知","策略正确性未核对；可能是极端经验"
"SRC-C04","外部来源转述","小红书","萌新自救指南评论：地形、任务与战斗受阻","https://www.xiaohongshu.com/explore/67e0f9b9000000001c03d328","2026-07-29 采集","探索方向与战斗阻塞的复合问题","单条评论；缺账号和任务上下文"
"SRC-C05","外部来源转述","小红书","四星培养讨论：二次转化规则说明","https://www.xiaohongshu.com/explore/69eb6dc9000000002202950d","2026-07-29 采集","高阶玩家的条件化机制解释示例","机制和版本未独立复现"
"SRC-C06","外部来源转述","抖音","1—45 级教程评论：询问传送锚点","https://www.douyin.com/video/7639693376194956586","2026-07-29 采集","基础概念缺口","单条评论；可能是玩笑或刚进入游戏"
"SRC-C07","外部来源转述","抖音","版本原石汇总评论：跨屏跟地图困难","https://www.douyin.com/video/7659724262550310184","2026-07-29 采集","外部路线执行的注意力切换成本","单条评论；设备和能力差异未控制"
"SRC-C08","外部来源转述","微博","Boss 机制攻略","https://m.weibo.cn/detail/5326017981058375","2026-07-29 采集","高阶攻略的条件、反例和操作链","未用录像或游戏内实验验证"
"SRC-C09","外部来源转述","微博","按账号等级拆分的开荒路线","https://m.weibo.cn/detail/5325932911919979","2026-07-29 采集","分层目标与路线脚手架的正例","单帖方案；版本事实未独立核对"
