evidence_id,claim_or_observation,evidence_type,platform,conditions,source_locator,support_scope,alternative_explanation,author_credibility,evidence_strength,confidence
"E-G01","教程应降低内在与无关负荷；新工具一次一个并在隔离环境练习","GDC直接主张","GDC 2026","通用教程设计","SRC-G01 p.18-21","提供分析标准，不证明《原神》当前负荷","工作记忆模型被简化为设计工具","会议讲者","中","中"
"E-G02","教程内容可按重要性和紧迫性分为 Do/Show/Reinforce/Cut","GDC直接主张","GDC 2026","通用 FTUE","SRC-G01 p.26-44","提供信息分层方法","不同品类或受众可能需要不同排序","会议讲者","中","中"
"E-G03","玩家疲劳情境下应少要求、给更多价值、把深度集中在更少技能上","GDC直接主张","GDC 2026","重内容游戏与碎片化游玩情境","SRC-G01 p.48-83","提供受众和会话约束透镜","该段主要是行业观察而非对照实验","会议讲者","中","中"
"E-G04","挑战可以拆成推理、操作、随机、局外资源、表现承受、耐力、人际和局内资源","GDC直接主张","GDC 2026","挑战分类","SRC-G02 p.16-60","帮助区分‘难’来自哪里","八分类可能重叠且非唯一分类法","会议讲者","中","中"
"E-G05","平行挑战、奖励提供方向、减少时间税和不从零开始有助于保持动量","GDC直接主张","GDC 2026","深度挑战游戏","SRC-G02 p.80-90","提供失败恢复与继续游玩的设计检查项","对轻度开放世界的适用程度需实测","会议讲者","中","中"
"E-G06","相邻 RPG 案例以有限技能、任意时点终结技和自动战斗降低表层负担，并用简单触发组合保持扩展性","GDC直接主张","GDC 2025","《崩坏：星穹铁道》开发者分享","SRC-G03 p.19-26","可作同公司相邻产品对照","回合制和开放世界即时战斗结构不同","项目开发者","中高","中高"
"E-G07","Vision、Pillars、Game Loops 和 Resource Flow 分别回答做什么、不做什么、怎样运作和玩家做何种选择","GDC直接主张","GDC 2025","内部设计对齐","SRC-G04 slide 2-20、37","支持本例的全景文档结构","不直接判断玩法好坏","会议讲者","中","中"
"E-C01","一条萌新攻略评论指出前三分钟出现树脂、多个等级、任务分类和卡池等大量概念，却未先解释目的与因果","外部来源转述","B站","单条视频评论","SRC-C01","证明至少存在‘攻略缺少新手视角’的明确反例","评论者可能未完整观看，且攻略不是游戏内教程","匿名玩家；身份未核","中","中"
"E-C02","一名自述冒险等级 24 的玩家在 Boss 受阻和抽卡未获目标后卸载，并询问账号是否已成为痛苦号","外部来源转述","B站","单个玩家自述","SRC-C02","显示失败、抽卡与账号价值焦虑可能在同一退出事件中耦合","可能是冲动消费情绪或暂时退出，不代表普遍流失","匿名玩家；身份未核","中","低中"
"E-C03","一条攻略评论建议长期停在 45 级并描述突破后大世界过难、最终注销重玩","外部来源转述","B站","单个玩家自述","SRC-C03","显示部分玩家将进度选择感知为高风险甚至不可逆","建议可能过时或并非最优；账号问题可能来自其他养成错误","匿名玩家；身份未核","中","低中"
"E-C04","一名玩家同时报告地形难以攀爬、缺少可做任务和两个任务怪打不过","外部来源转述","小红书","单条评论","SRC-C04","显示目标、移动和战斗阻塞可能叠加","可能处于特殊任务或未理解基础操作","匿名玩家；身份未核","中","低中"
"E-C05","评论者询问传送锚点是什么以及有什么功能","外部来源转述","抖音","单条评论","SRC-C06","证明至少有基础地图概念未被该玩家掌握","可能尚未进入相应教学阶段","匿名玩家；身份未核","低中","低中"
"E-C06","评论者描述用双设备、分屏和分段观看三种方式跟路线，均感到慢、乱或注意力不足","外部来源转述","抖音","单条评论","SRC-C07","说明外部地图攻略的跨屏执行可能产生显著切换成本","困难可能来自设备布局或个人习惯，不是游戏本身","匿名玩家；过程描述具体","中","中"
"E-C07","小红书评论给出属性二次转化的条件、例外和具体角色交互","外部来源转述","小红书","高阶机制讨论","SRC-C05","显示社区中存在可提供边界条件的高阶分析","机制可能过时或存在计算错误","匿名玩家；身份未核","中高","中"
"E-C08","微博攻略把 Boss 破防拆为元素、进度条、分裂、聚怪和禁用超载等条件链","外部来源转述","微博","单帖攻略","SRC-C08","显示高阶攻略可贡献条件化操作与反例","未录像复现，可能只适用特定版本和难度","公开创作者；未验证战绩","中高","中"
"E-C09","微博开荒帖按 20/28 级拆分两条路线，并区分先开点位与慢慢收集","外部来源转述","微博","单帖攻略","SRC-C09","提供按玩家阶段分层目标的社区正例","等级门槛与区域名称未独立核验","公开创作者；未验证战绩","中","低中"
"E-A01","四平台去重后共 73 条内容和 67 条一级评论；内容主题以新手、版本、养成和探索交叉出现","采集统计","四平台","查询‘原神 攻略’；平台默认排序；低评论上限","SRC-A01","说明本次探索样本构成，不代表总体频率","搜索算法、重复发布和时点会强烈影响结果","采集程序","高（对本批数据）","高"
