deep_source_id,evidence_state,platform,source_role,title,public_url,author_public_basis,version,locator,quality_score_0_18,independence_group,decision,reason
"FG-BILI-001","L0","B站/IGN","开发者访谈","游戏首席设计师详解小队模式","https://www.bilibili.com/video/BV1ov411b7M6","Joe Walsh／Fall Guys 首席设计师；IGN 发布","2021 S4","BV1ov411b7M6-en/S-00001..S-00078","16","joe-walsh-squads","核心纳入","完整访谈覆盖赛制目标、约束、积分和奖励；ASR 已按英文重转"
"FG-ZH-001","L0","知乎/授权译文","游戏设计师分析","《糖豆人》成功背后蕴含了何种设计？","https://zhuanlan.zhihu.com/p/206778198","Jennifer Scheurle；Polygon 中文授权译文署名","2020 初版","ZH-article-206778198-P0001..P0003","13","jennifer-scheurle-analysis","纳入历史机制解释","完整论证快速失败、混乱/技巧与团队赛归因；版本较旧"
"FG-ZH-002","L0","知乎/开发者访谈译文","关卡设计复盘","水涨爬高是如何打造出来的？","https://zhuanlan.zhihu.com/p/210690978","Joe Walsh、Joseph Juson 受访；Joe Skrebels 撰文","2020 初版","ZH-article-210690978-P0001..P0003","15","developer-level-interview","核心纳入","一手说明可读性、难度、视角和容错迭代"
"FG-ZH-003","L0","知乎","玩家/系统评测","如何评价《糖豆人》？","https://www.zhihu.com/question/411382847/answer/1395513086","公开身份未核；完整长评","2020 买断制","ZH-answer-1395513086-P0001..P0004","10","zhihu-player-review-01","只作历史假设","赛制与早期付费分析完整，但商业规则已过期、作者资历未核"
"FG-ZH-004","L0","知乎","高技能历史样本","免费化与老玩家经历","https://www.zhihu.com/question/533206788/answer/2489338010","自述首批玩家、单排数百皇冠和五连胜成就；未外部核验","2020–2022 回忆","ZH-answer-2489338010-P0001..P0002","9","zhihu-high-skill-self-report","补充反例","提供区域技能/延迟/外挂与高手池收缩经验，不代表总体玩家"
"FG-OFFICIAL-001","L0","Fall Guys 官方","当前赛制规则","Fall Forever Update","https://www.fallguys.com/news/fall-forever-update?lang=en-US","官方公告","2024-04","32 players / 3 rounds / 40 levels","16","fall-guys-official","核心纳入","当前主循环演化的一手规则"
"FG-OFFICIAL-002","L0","Fall Guys 官方","竞技规则","Ranked Knockout","https://www.fallguys.com/news/fall-guys-ranked-knockout","官方公告","2025-04","scoring/ranks/cycles/rewards","17","fall-guys-official","核心纳入","中间轮次价值和周期目标的一手规则"
"FG-OFFICIAL-003","L0","Epic/Fall Guys 官方","经济与价格","Fame Pass FAQ＋2026 Show-Bucks 价格","https://www.epicgames.com/help/c-202300000001638/c-202300000001728/fall-guys-season-pass-faq-a202300000015599","官方支持/公告","2026-04","pass/free-premium/retroactive/tier skip/600→800","17","fall-guys-official","核心纳入","当前 Pass 结构与价格；地区金额不可外推"
"FG-OFFICIAL-004","L0","Epic 官方支持","货币规则","Kudos/Crowns 与跨平台 Show-Bucks","https://www.epicgames.com/help/c-202300000001638/c-202300000001728/can-i-buy-kudos-or-crowns-in-fall-guys-a202300000016071?lang=en-US","官方支持页","2026 页面快照","不可购买/60 shards/平台余额隔离","17","fall-guys-official","核心纳入","核对免费威望货币与购买货币边界；跨平台余额另见报告链接"
"FG-GDC-001","L0","GDC 2024 PDF","后端/结算可靠性","Terminal Velocity","local:GDC2024/pdf/Terminal Velocity...Fall Guys.pdf","Edwin Jones；Mediatonic/Epic 高级软件工程师","2020/2022 launch retrospective","p.39,p.42-43,p.46,p.49-53","14","fall-guys-backend","纳入运营约束","直接证明商店惊群、奖励堵塞和免费化规模；不是玩法/付费转化证据"
